Service,Time period,Consumption,Consumption unit,Approximate charge,Meter serial number,Register serial number,Counter time frame
SRV038477,Mon Feb 12 2024,60,CF,0,04020714,,LOW FLOW
SRV038477,Tue Feb 13 2024,94,CF,0,04020714,,LOW FLOW
SRV038477,Wed Feb 14 2024,66,CF,0,04020714,,LOW FLOW
SRV038477,Thu Feb 15 2024,66,CF,0,04020714,,LOW FLOW
SRV038477,Fri Feb 16 2024,93,CF,0,04020714,,LOW FLOW
SRV038477,Sat Feb 17 2024,87,CF,0,04020714,,LOW FLOW
SRV038477,Sun Feb 18 2024,86,CF,0,04020714,,LOW FLOW
SRV038477,Mon Feb 19 2024,48,CF,0,04020714,,LOW FLOW
SRV038477,Tue Feb 20 2024,80,CF,0,04020714,,LOW FLOW
SRV038477,Wed Feb 21 2024,68,CF,0,04020714,,LOW FLOW
SRV038477,Thu Feb 22 2024,71,CF,0,04020714,,LOW FLOW
SRV038477,Fri Feb 23 2024,64,CF,0,04020714,,LOW FLOW
SRV038477,Sat Feb 24 2024,81,CF,0,04020714,,LOW FLOW
SRV038477,Sun Feb 25 2024,61,CF,0,04020714,,LOW FLOW
SRV038477,Mon Feb 26 2024,117,CF,0,04020714,,LOW FLOW
SRV038477,Tue Feb 27 2024,75,CF,0,04020714,,LOW FLOW
SRV038477,Wed Feb 28 2024,66,CF,0,04020714,,LOW FLOW
SRV038477,Thu Feb 29 2024,74,CF,0,04020714,,LOW FLOW
SRV038477,Fri Mar 01 2024,100,CF,0,04020714,,LOW FLOW
SRV038477,Sat Mar 02 2024,56,CF,0,04020714,,LOW FLOW
SRV038477,Sun Mar 03 2024,66,CF,0,04020714,,LOW FLOW
SRV038477,Mon Mar 04 2024,58,CF,0,04020714,,LOW FLOW
SRV038477,Tue Mar 05 2024,96,CF,0,04020714,,LOW FLOW
SRV038477,Wed Mar 06 2024,70,CF,0,04020714,,LOW FLOW
SRV038477,Thu Mar 07 2024,72,CF,0,04020714,,LOW FLOW
SRV038477,Fri Mar 08 2024,63,CF,0,04020714,,LOW FLOW
SRV038477,Sat Mar 09 2024,86,CF,0,04020714,,LOW FLOW
SRV038477,Sun Mar 10 2024,63,CF,0,04020714,,LOW FLOW
SRV038477,Mon Mar 11 2024,117,CF,0,04020714,,LOW FLOW
SRV038477,Tue Mar 12 2024,73,CF,0,04020714,,LOW FLOW
