Start Date,End Date,Consumption Type,Usage
03/29/2022,04/27/2022,Usage,1311
03/01/2022,03/28/2022,Usage,1331
01/30/2022,02/28/2022,Usage,1503
12/29/2021,01/29/2022,Usage,1410
11/30/2021,12/28/2021,Usage,1085
10/31/2021,11/29/2021,Usage,1108
09/29/2021,10/30/2021,Usage,1378
08/31/2021,09/28/2021,Usage,1339
08/01/2021,08/30/2021,Usage,1318
06/30/2021,07/31/2021,Usage,1988
06/01/2021,06/29/2021,Usage,1617
05/03/2021,05/31/2021,Usage,1205
03/30/2021,05/02/2021,Usage,1372
03/03/2021,03/29/2021,Usage,1731
02/01/2021,03/02/2021,Usage,1630
12/30/2020,01/31/2021,Usage,2107
11/30/2020,12/29/2020,Usage,1177
10/28/2020,11/29/2020,Usage,1603
09/29/2020,10/27/2020,Usage,1570
08/30/2020,09/28/2020,Usage,2006
07/29/2020,08/29/2020,Usage,3063
06/30/2020,07/28/2020,Usage,1077
05/31/2020,06/29/2020,Usage,907
04/29/2020,05/30/2020,Usage,1529
03/31/2020,04/28/2020,Usage,1272
03/02/2020,03/30/2020,Usage,1484
01/30/2020,03/01/2020,Usage,1425
01/01/2020,01/29/2020,Usage,1523
12/02/2019,12/31/2019,Usage,1252
11/03/2019,12/01/2019,Usage,1132
10/03/2019,11/02/2019,Usage,1246
09/09/2019,10/02/2019,Usage,1045
08/06/2019,09/08/2019,Usage,1677
07/07/2019,08/05/2019,Usage,1565
06/04/2019,07/06/2019,Usage,1686
05/05/2019,06/03/2019,Usage,1021
04/04/2019,05/04/2019,Usage,1158
03/05/2019,04/03/2019,Usage,1014
02/05/2019,03/04/2019,Usage,1318
01/04/2019,02/04/2019,Usage,1427
12/05/2018,01/03/2019,Usage,987
11/01/2018,12/04/2018,Usage,2834
10/04/2018,10/31/2018,Usage,3601
09/05/2018,10/03/2018,Usage,1871
08/06/2018,09/04/2018,Usage,1098
07/05/2018,08/05/2018,Usage,1202
06/03/2018,07/04/2018,Usage,982
05/02/2018,06/02/2018,Usage,1987
04/02/2018,05/01/2018,Usage,879
03/06/2018,04/01/2018,Usage,872
02/06/2018,03/05/2018,Usage,912
01/05/2018,02/05/2018,Usage,1185
12/03/2017,01/04/2018,Usage,1083
