Service,Time period,Consumption,Consumption unit,Approximate charge,Meter serial number,Register serial number,Counter time frame
SRV086915,Mon Mar 11 2024,52,CF,0,16796655,,LOW FLOW
SRV086915,Tue Mar 12 2024,54,CF,0,16796655,,LOW FLOW
SRV086915,Wed Mar 13 2024,68,CF,0,16796655,,LOW FLOW
SRV086915,Thu Mar 14 2024,64,CF,0,16796655,,LOW FLOW
SRV086915,Fri Mar 15 2024,70,CF,0,16796655,,LOW FLOW
SRV086915,Sat Mar 16 2024,76,CF,0,16796655,,LOW FLOW
SRV086915,Sun Mar 17 2024,101,CF,0,16796655,,LOW FLOW
SRV086915,Mon Mar 18 2024,73,CF,0,16796655,,LOW FLOW
SRV086915,Tue Mar 19 2024,71,CF,0,16796655,,LOW FLOW
SRV086915,Wed Mar 20 2024,103,CF,0,16796655,,LOW FLOW
SRV086915,Thu Mar 21 2024,75,CF,0,16796655,,LOW FLOW
SRV086915,Fri Mar 22 2024,90,CF,0,16796655,,LOW FLOW
SRV086915,Sat Mar 23 2024,87,CF,0,16796655,,LOW FLOW
SRV086915,Sun Mar 24 2024,66,CF,0,16796655,,LOW FLOW
SRV086915,Mon Mar 25 2024,80,CF,0,16796655,,LOW FLOW
SRV086915,Tue Mar 26 2024,73,CF,0,16796655,,LOW FLOW
SRV086915,Wed Mar 27 2024,82,CF,0,16796655,,LOW FLOW
SRV086915,Thu Mar 28 2024,101,CF,0,16796655,,LOW FLOW
SRV086915,Fri Mar 29 2024,106,CF,0,16796655,,LOW FLOW
SRV086915,Sat Mar 30 2024,92,CF,0,16796655,,LOW FLOW
SRV086915,Sun Mar 31 2024,87,CF,0,16796655,,LOW FLOW
SRV086915,Mon Apr 01 2024,74,CF,0,16796655,,LOW FLOW
SRV086915,Tue Apr 02 2024,85,CF,0,16796655,,LOW FLOW
SRV086915,Wed Apr 03 2024,85,CF,0,16796655,,LOW FLOW
SRV086915,Thu Apr 04 2024,81,CF,0,16796655,,LOW FLOW
SRV086915,Fri Apr 05 2024,73,CF,0,16796655,,LOW FLOW
SRV086915,Sat Apr 06 2024,86,CF,0,16796655,,LOW FLOW
SRV086915,Sun Apr 07 2024,100,CF,0,16796655,,LOW FLOW
SRV086915,Mon Apr 08 2024,78,CF,0,16796655,,LOW FLOW
SRV086915,Tue Apr 09 2024,102,CF,0,16796655,,LOW FLOW
