Read Date,Meter Serial No.,Register,Read,Usage (CF)
09/17/2021,04011919,LOW FLOW,165409,13
09/16/2021,04011919,LOW FLOW,165396,19
09/15/2021,04011919,LOW FLOW,165377,10
09/14/2021,04011919,LOW FLOW,165367,11
09/13/2021,04011919,LOW FLOW,165356,11
09/12/2021,04011919,LOW FLOW,165345,9
09/11/2021,04011919,LOW FLOW,165336,2
09/10/2021,04011919,LOW FLOW,165334,39
09/08/2021,04011919,LOW FLOW,165295,9
09/07/2021,04011919,LOW FLOW,165286,8
09/06/2021,04011919,LOW FLOW,165278,11
09/05/2021,04011919,LOW FLOW,165267,6
09/04/2021,04011919,LOW FLOW,165261,13
09/03/2021,04011919,LOW FLOW,165248,12
09/02/2021,04011919,LOW FLOW,165236,7
09/01/2021,04011919,LOW FLOW,165229,14
08/31/2021,04011919,LOW FLOW,165215,15
08/30/2021,04011919,LOW FLOW,165200,6
08/29/2021,04011919,LOW FLOW,165194,4
08/28/2021,04011919,LOW FLOW,165190,6
08/27/2021,04011919,LOW FLOW,165184,13
08/26/2021,04011919,LOW FLOW,165171,9
08/25/2021,04011919,LOW FLOW,165162,6
08/24/2021,04011919,LOW FLOW,165156,5
08/23/2021,04011919,LOW FLOW,165151,6
08/22/2021,04011919,LOW FLOW,165145,4
08/21/2021,04011919,LOW FLOW,165141,5
08/20/2021,04011919,LOW FLOW,165136,5
08/19/2021,04011919,LOW FLOW,165131,5
