Read Date,Meter Serial No.,Register,Read,Usage (CF)
01/09/2022,00501830,LOW FLOW,2355850,450
01/08/2022,00501830,LOW FLOW,2355400,1250
01/06/2022,00501830,LOW FLOW,2354150,700
01/05/2022,00501830,LOW FLOW,2353450,600
01/04/2022,00501830,LOW FLOW,2352850,50
01/03/2022,00501830,LOW FLOW,2352800,3550
12/29/2021,00501830,LOW FLOW,2349250,500
12/28/2021,00501830,LOW FLOW,2348750,500
12/27/2021,00501830,LOW FLOW,2348250,450
12/26/2021,00501830,LOW FLOW,2347800,1500
12/24/2021,00501830,LOW FLOW,2346300,350
12/23/2021,00501830,LOW FLOW,2345950,1150
12/21/2021,00501830,LOW FLOW,2344800,600
12/20/2021,00501830,LOW FLOW,2344200,750
12/19/2021,00501830,LOW FLOW,2343450,800
12/18/2021,00501830,LOW FLOW,2342650,550
12/17/2021,00501830,LOW FLOW,2342100,600
12/16/2021,00501830,LOW FLOW,2341500,600
12/15/2021,00501830,LOW FLOW,2340900,650
12/14/2021,00501830,LOW FLOW,2340250,550
12/13/2021,00501830,LOW FLOW,2339700,700
12/12/2021,00501830,LOW FLOW,2339000,1300
